,title,link_to_equipment,link_to_image,price_equipment
58,Nešiojamas kompiuteris Apple MacBook Air M2 8C/8/512/macOS Z15Z0006V Starlight,https://www.varle.lt/nesiojami-kompiuteriai/nesiojami-kompiuteriai/nesiojamas-kompiuteris-apple-macbook-air-m2-8c8512macos--20782852.html,https://www.varle.lt/static/uploads/products/235x195/605/nes/nesiojamas-kompiuteris-apple-macbook-air_YgExiG0.jpg,"

1729 €
"
59,"HyperX Pulsefire Mat - Žaidimų pelės kilimėlis, M dydžio, 360 mm x 300 mm",https://www.varle.lt/peliu-kilimeliai/hyperx-pulsefire-mat-zaidimu-peles-kilimelis-m--20856184.html,https://www.varle.lt/static/uploads/products/235x195/605/hyp/hyperx-pulsefire-mat-zaidimu-peles-kilimelis_grj5DSw.png,"

12.99
 €
"
60,"Žaidimų kėdė ByteZone Racer PRO Gaming Chair, Raudona",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-bytezone-racer-pro-gaming-chair-raudona--17753129.html,https://www.varle.lt/static/uploads/products/235x195/605/zai/zaidimu-kede-bytezone-racer-pro-gaming-chair_EsTmwb5.jpg,"

130.99
 €
"
61,"Žaidimų kompiuteris Acer Nitro 5 15.6"" QHD IPS 165 Hz / AMD Ryzen 7 5800H iki 4.4Ghz / 1Tb SSD PCIe / 16Gb RAM DDR4 / GeForce RTX3080 8Gb / WiFi AX / USB C / Windows 11",https://www.varle.lt/nesiojami-kompiuteriai/nesiojami-kompiuteriai/nesiojamas-kompiuteris-acer-nitro-5-an515-45-r588--16008123.html,https://www.varle.lt/static/uploads/products/235x195/281/nes/nesiojamas-kompiuteris-acer-nitro-5-an515-45-r588_FHhtgYC.jpg,"

1699 €
"
62,Stacionarus kompiuteris Actina/Gigabyte B560M DS3H V2 / GeForce RTX 3060 Ti / ADATA XPG Spectrix D60 / WD BLUE WDS100T3B0C / SilentiumPC Fera 5 ARGB (SPC305) / SilentiumPC Vero L3 / SilentiumPC Ventum VT4V Evo TG ARGB,https://www.varle.lt/stacionarus-kompiuteriai/stacionarus-kompiuteris-actina-spc-pc-ddr4-sdram-i5-11400f--19050889.html,https://www.varle.lt/static/uploads/products/235x195/2/act/actina-5901443296188-pc-ddr4-sdram-i5-11400f.jpeg,"

1326.99
 €
"
63,"Mechaninė Žaidimų Klaviatūra Aula Fireshock V5 su riešų atrama, EN/RU/UA išdėstymas",https://www.varle.lt/klaviaturos/mechanine-zaidimu-klaviatura-aula-fireshock-v5-su--16646469.html,https://www.varle.lt/static/uploads/products/235x195/4/aul/aula-mechanine-klaviatura-fireshock-v5-su.png,"

33.77
 €
"
64,"Žaidimų kėdė DXRacer King K99-N Gaming Chair, Juoda",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-dxracer-king-k99-n-gaming-chair-juoda--18996201.html,https://www.varle.lt/static/uploads/products/235x195/814/dxr/dxracer-king-k99-n-juoda-ergonomine-kede.jpg,"

435.95
 €
"
65,"Belaidė Ergonomiška Pelė žaidimams Razer DeathAdder V2 Pro, Juoda",https://www.varle.lt/peles/belaide-ergonomiska-pele-zaidimams-razer-deathadder--14525769.html,https://www.varle.lt/static/uploads/products/235x195/4/bel/belaide-ergonomiska-zaidimu-pele-razer-deathadder.jpeg,"

94.28
 €
"
66,"Nešiojamo kompiuterio krepšys RIVACASE Tiergarten 17.3"", 8550 (Juodas)",https://www.varle.lt/nesiojamu-kompiuteriu-krepsiai-deklai-kuprines/rivacase-8550-juodas-krepsys-nesiojamam-kompiuteriui--5194619.html,https://www.varle.lt/static/uploads/products/235x195/403/riv/rivacase-8550-173-maletin-negro-funda.jpg,"

33.99
 €
"
67,Internetinė kamera Logitech StreamCam FHD 1920 x 1080 pikseliai USB 3.2 Gen 1 (3.1 Gen 1) Juoda,https://www.varle.lt/internetines-kameros/logitech-streamcam-graphite--14185994.html,https://www.varle.lt/static/uploads/products/235x195/12/str/streamcam-full-hd-960-001281-logitech.Jpeg,"

98.19
 €
"
